Российская Федерация;101 ;191 ;247 ;232 ;154 ;228 ;209 ;267 ;316 ;306 ;262 ;397 ;152 ;255 ;303 ;663 ;325 ;691 ;536 ;333 ;384 ;406 ;449 ;465 ;317 ;325 ;249 ;340 ;302 ;404 ;440 ;335 ;459 ;389 ;464 ;508 ;350 ;338 
Центральный ФО;24 ;70 ;76 ;72 ;34 ;48 ;64 ;71 ;62 ;68 ;72 ;88 ;60 ;66 ;64 ;219 ;92 ;125 ;117 ;65 ;95 ;79 ;95 ;158 ;86 ;92 ;63 ;70 ;78 ;113 ;90 ;93 ;94 ;92 ;103 ;88 ;82 ;73 
Белгородская область;0 ;1 ;5 ;1 ;0 ;4 ;3 ;0 ;9 ;2 ;8 ;0 ;0 ;0 ;3 ;2 ;7 ;2 ;13 ;4 ;1 ;2 ;1 ;4 ;2 ;0 ;0 ;9 ;2 ;1 ;5 ;4 ;1 ;11 ;3 ;8 ;1 ;2 
Брянская область;1 ;1 ;0 ;1 ;1 ;2 ;1 ;3 ;3 ;1 ;3 ;1 ;3 ;1 ;2 ;4 ;6 ;2 ;3 ;3 ;2 ;0 ;1 ;8 ;1 ;3 ;6 ;3 ;0 ;5 ;5 ;2 ;5 ;1 ;4 ;0 ;0 ;0 
Владимирская область;2 ;1 ;3 ;0 ;0 ;3 ;0 ;3 ;1 ;5 ;4 ;1 ;1 ;5 ;5 ;6 ;7 ;6 ;3 ;3 ;8 ;3 ;0 ;1 ;0 ;5 ;0 ;2 ;1 ;6 ;3 ;3 ;3 ;5 ;12 ;2 ;1 ;1 
Воронежская область;0 ;1 ;6 ;8 ;1 ;10 ;4 ;7 ;11 ;5 ;7 ;4 ;5 ;4 ;9 ;12 ;10 ;10 ;11 ;5 ;9 ;10 ;6 ;19 ;4 ;6 ;9 ;6 ;6 ;4 ;8 ;5 ;7 ;8 ;9 ;7 ;8 ;5 
Ивановская область;0 ;1 ;0 ;3 ;1 ;0 ;0 ;4 ;0 ;0 ;1 ;1 ;4 ;0 ;1 ;0 ;1 ;15 ;2 ;2 ;2 ;2 ;2 ;0 ;1 ;2 ;0 ;2 ;1 ;3 ;1 ;8 ;1 ;0 ;2 ;1 ;0 ;2 
Калужская область;0 ;2 ;2 ;2 ;0 ;0 ;0 ;2 ;0 ;1 ;0 ;2 ;1 ;1 ;2 ;5 ;0 ;3 ;12 ;5 ;2 ;0 ;12 ;1 ;0 ;2 ;20 ;1 ;0 ;2 ;1 ;2 ;5 ;1 ;2 ;2 ;2 ;4 
Костромская область;0 ;0 ;2 ;0 ;3 ;2 ;1 ;4 ;4 ;1 ;1 ;1 ;1 ;4 ;1 ;4 ;0 ;3 ;7 ;0 ;0 ;1 ;3 ;1 ;2 ;2 ;1 ;2 ;1 ;3 ;3 ;2 ;1 ;3 ;5 ;2 ;4 ;0 
Курская область;0 ;0 ;1 ;0 ;1 ;0 ;3 ;0 ;1 ;2 ;1 ;0 ;0 ;3 ;0 ;0 ;0 ;1 ;1 ;2 ;1 ;0 ;3 ;19 ;0 ;1 ;1 ;2 ;0 ;0 ;2 ;3 ;1 ;0 ;2 ;1 ;0 ;0 
Липецкая область;1 ;2 ;3 ;3 ;0 ;0 ;9 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;23 ;2 ;3 ;4 ;1 ;1 ;2 ;1 ;0 ;17 ;1 ;1 ;3 ;22 ;0 ;1 ;1 ;3 ;1 ;0 ;3 ;0 ;1 
Московская область;5 ;44 ;11 ;29 ;5 ;6 ;18 ;12 ;4 ;12 ;17 ;35 ;30 ;11 ;9 ;90 ;18 ;32 ;20 ;19 ;20 ;10 ;24 ;48 ;20 ;26 ;7 ;9 ;12 ;27 ;19 ;32 ;29 ;21 ;8 ;15 ;26 ;23 
Орловская область;3 ;0 ;2 ;0 ;1 ;0 ;1 ;1 ;0 ;2 ;3 ;4 ;2 ;0 ;3 ;5 ;2 ;0 ;0 ;1 ;1 ;1 ;6 ;0 ;0 ;2 ;0 ;0 ;1 ;3 ;1 ;0 ;1 ;3 ;0 ;1 ;0 ;1 
